"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-09-08T17:28:52.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xf5c45721aff2e55ef40b54689296610497bf33f3c86a4c953246ec702f5c5c8d","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","09/08/2025 17:28:52"
"USD","2025-09-08T17:28:52.000Z","STX","0.001","","0","0","N/A","","","Receive","'102585532'","0xcc307959c9d6c8ffbe96d9c05a15212fd35bf8dc1437912decbfcf36046a398c","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","102585532","09/08/2025 17:28:52"
"USD","2025-09-08T17:28:52.000Z","","0","STX","375280.000","0.0004","","N/A","N/A","Send","'102585532'","0xadf8ded1dee2482ce3e4c76a365b340f3ab32a0097952473957b10b79f24a36a","0","375280000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","102585532","09/08/2025 17:28:52"
"USD","2025-09-08T17:28:52.000Z","STX","0.001","","0","0","N/A","","","Receive","'102585532'","0x733ed7c19b9a639e8fa2cd6b3629c61675da283af11d68b1816933b9f8d0823e","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","102585532","09/08/2025 17:28:52"
"USD","2025-09-08T17:28:52.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x952fb54c47fa086c5f0803fa77f16d34d9eac9d5614bbacd0698c475af502c8f","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","09/08/2025 17:28:52"
"USD","2025-09-08T17:24:42.000Z","STX","0.001","","0","0","N/A","","","Receive","'102585532'","0xa3800ce6d256adcfee5b1a1fee24a0684509b11da26cc33f138b04f42ae3dc9d","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","102585532","09/08/2025 17:24:42"
"USD","2025-09-08T17:24:42.000Z","","0","STX","1000.000","0.0004","","N/A","N/A","Send","'102585532'","0xf80dd2a6fa9fd3075df46490450ede15494543479333a9c77dda956e99060d66","0","1000000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","102585532","09/08/2025 17:24:42"
"USD","2025-09-07T00:41:53.000Z","sbtc-token","5044","","0","0","N/A","","","Receive","distribute-rewards","0x545ff6a989f24a369c0361119eab9b5620d57312a25d814f33bcf471a73f2d2f","5044","0","0","SP804CDG3KBN9M6E00AD744K8DC697G7HBCG520Q.sbtc-yield-rewards-v3","","","09/07/2025 00:41:53"
"USD","2025-09-05T23:42:23.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xad48356e13d4f32b121d67a608423436a69c5b1d5955c677f653b09ba81eae79","1000","0","0","SPY5Z75KS7XVG1663Q7MJRC4Q3A75JEKM8TQAPFB","","","09/05/2025 23:42:23"
"USD","2025-09-05T23:42:23.000Z","STX","376280.560","","0","0","N/A","","","Receive","","0x3b8c3a9d9e82be3b40fb7e37d0490b1a31986d58a1720eb81a93336b92d1fd46","376280560000","0","0","SPY5GX22C4JX289QK7MA799D0PRGW7BMHFAVAPFB","","","09/05/2025 23:42:23"
"USD","2025-08-28T18:38:03.000Z","STX","0.001","","0","0","N/A","","","Receive","'102585532'","0x627a6df1a04f200a16091d9fb6812bae07ecf91f723a670ddd154b8a4d60ee92","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","102585532","08/28/2025 18:38:03"
"USD","2025-08-28T18:38:03.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x0acaab1dc1d065b6f72affa97cbf7fa1ac4d0d5964c7b0e6466ba079c7bd3835","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","08/28/2025 18:38:03"
"USD","2025-08-28T18:38:03.000Z","","0","STX","115933.000","0.0004","","N/A","N/A","Send","'102585532'","0x8873d5575056528fc3568fb8369062c0c109fdbde0a304942becd0e1ef06f156","0","115933000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","102585532","08/28/2025 18:38:03"
"USD","2025-08-28T18:38:03.000Z","STX","0.001","","0","0","N/A","","","Receive","'102585532'","0x56fd5293c92ccf42438a57a21e99eee6795d4d19bf7347c631f0446a1d0c9cbc","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","102585532","08/28/2025 18:38:03"
"USD","2025-08-28T18:38:03.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xd17552b6913237ecb32bdb4e71ef2df461c08678193d7dd5842768ea56b4520d","1000","0","0","SP2TJMQFBCKNNFFN632BCP6YRH17D1RBRB42MKSDD","","","08/28/2025 18:38:03"
